    0.626853    0.517505
    0.716883    0.660804
    0.134003    0.187676
    0.276066    0.837173
    0.362900    0.254551
    0.248081    0.502387
    0.611375    0.381435
    0.784088    0.163503
    0.002577    0.316003
    0.067626    0.595143
    0.569096    0.805828
    0.548713    0.214927
    0.275868    0.511560
    0.799811    0.418623
    0.799424    0.916796
    0.598084    0.994935
    0.873137    0.817550
    0.558462    0.079228
    0.585142    0.476412
    0.049603    0.674018
    0.223760    0.734047
    0.131790    0.999579
    0.928875    0.608413
    0.591397    0.605807
    0.800998    0.375152
    0.189250    0.728309
    0.697326    0.968517
    0.872988    0.307837
    0.809787    0.098138
    0.412737    0.875322
    0.531486    0.688758
    0.959543    0.038402
    0.422077    0.854382
    0.603179    0.627013
    0.214425    0.849451
    0.721200    0.217563
    0.581085    0.297919
    0.129653    0.071144
    0.720224    0.811865
    0.017277    0.376691
    0.053914    0.125943
    0.722170    0.510999
    0.366860    0.816406
    0.327899    0.003092
    0.967710    0.304756
    0.032195    0.109332
    0.545028    0.294994
    0.968189    0.350318
    0.799171    0.669786
    0.091197    0.744425
    0.544448    0.545099
    0.480165    0.130061
    0.931074    0.564599
    0.210849    0.737660
    0.851792    0.065118
    0.437724    0.829476
    0.000161    0.710546
    0.139856    0.569262
    0.593440    0.941169
    0.229797    0.197156
    0.611717    0.120715
    0.864115    0.192007
    0.069220    0.383146
    0.531899    0.635373
    0.716459    0.521934
    0.151321    0.259404
    0.806331    0.004964
    0.427335    0.225604
    0.723402    0.210024
    0.878185    0.660440
    0.023808    0.137255
    0.844527    0.964828
    0.858074    0.657561
    0.622355    0.919498
    0.000707    0.878409
    0.425652    0.932919
    0.568526    0.212444
    0.553376    0.589902
    0.493109    0.685587
    0.665271    0.210093
    0.043375    0.006339
    0.544176    0.968896
    0.230833    0.608488
    0.860536    0.036608
    0.271256    0.997845
    0.790003    0.587883
    0.546381    0.028734
    0.936751    0.977228
    0.273677    0.695866
    0.415193    0.157909
    0.977148    0.931510
    0.885964    0.391674
    0.870835    0.125303
    0.963769    0.063595
    0.844784    0.292309
    0.836499    0.041994
    0.791700    0.104683
    0.417358    0.540320
    0.166738    0.370377
    0.919636    0.317163
    0.564481    0.244520
    0.657616    0.548222
    0.971373    0.865928
    0.647666    0.322605
    0.023621    0.993668
    0.587315    0.997483
    0.694185    0.172378
    0.161819    0.696681
    0.125341    0.608263
    0.068911    0.187462
    0.672023    0.685733
    0.112029    0.868801
    0.935253    0.797082
    0.565608    0.179317
    0.789200    0.084923
    0.295893    0.076666
