-6.28319 1
-6.18319 0.995004
-6.08319 0.980067
-5.98319 0.955336
-5.88319 0.921061
-5.78319 0.877583
-5.68319 0.825336
-5.58319 0.764842
-5.48319 0.696707
-5.38319 0.62161
-5.28319 0.540302
-5.18319 0.453596
-5.08319 0.362358
-4.98319 0.267499
-4.88319 0.169967
-4.78319 0.0707372
-4.68319 -0.0291995
-4.58319 -0.128844
-4.48319 -0.227202
-4.38319 -0.32329
-4.28319 -0.416147
-4.18319 -0.504846
-4.08319 -0.588501
-3.98319 -0.666276
-3.88319 -0.737394
-3.78319 -0.801144
-3.68319 -0.856889
-3.58319 -0.904072
-3.48319 -0.942222
-3.38319 -0.970958
-3.28319 -0.989992
-3.18319 -0.999135
-3.08319 -0.998295
-2.98319 -0.98748
-2.88319 -0.966798
-2.78319 -0.936457
-2.68319 -0.896758
-2.58319 -0.8481
-2.48319 -0.790968
-2.38319 -0.725932
-2.28319 -0.653644
-2.18319 -0.574824
-2.08319 -0.490261
-1.98319 -0.400799
-1.88319 -0.307333
-1.78319 -0.210796
-1.68319 -0.112153
-1.58319 -0.0123887
-1.48319 0.087499
-1.38319 0.186512
-1.28319 0.283662
-1.18319 0.377978
-1.08319 0.468517
-0.983185 0.554374
-0.883185 0.634693
-0.783185 0.70867
-0.683185 0.775566
-0.583185 0.834713
-0.483185 0.88552
-0.383185 0.927478
-0.283185 0.96017
-0.183185 0.983268
-0.0831853 0.996542
0.0168147 0.999859
0.116815 0.993185
0.216815 0.976588
0.316815 0.950233
0.416815 0.914383
0.516815 0.869397
0.616815 0.815725
0.716815 0.753902
0.816815 0.684547
0.916815 0.608351
1.01681 0.526078
1.11681 0.438547
1.21681 0.346635
1.31681 0.25126
1.41681 0.153374
1.51681 0.0539554
1.61681 -0.0460021
1.71681 -0.1455
1.81681 -0.243544
1.91681 -0.339155
2.01681 -0.431377
2.11681 -0.519289
2.21681 -0.602012
2.31681 -0.67872
2.41681 -0.748647
2.51681 -0.811093
2.61681 -0.865435
2.71681 -0.91113
2.81681 -0.947722
2.91681 -0.974844
3.01681 -0.992225
3.11681 -0.999693
3.21681 -0.997172
3.31681 -0.984688
3.41681 -0.962365
3.51681 -0.930426
3.61681 -0.889191
3.71681 -0.839072
3.81681 -0.780568
3.91681 -0.714266
4.01681 -0.640826
4.11681 -0.560984
4.21681 -0.475537
4.31681 -0.385338
4.41681 -0.291289
4.51681 -0.19433
4.61681 -0.0954289
4.71681 0.0044257
4.81681 0.104236
4.91681 0.203005
5.01681 0.299745
5.11681 0.393491
5.21681 0.483305
5.31681 0.56829
5.41681 0.647596
5.51681 0.720432
5.61681 0.78607
5.71681 0.843854
5.81681 0.893206
5.91681 0.933634
6.01681 0.964733
6.11681 0.986192
6.21681 0.997798
